region_name,factors,t_test,factors_significant,F_test,shapiro,het_breuschpagan,durbin_watson,vif,add_const,coefs,mape
Республика Мордовия,"['area', 'levels', 'kitchen_area', 'date_encoded', 'object_type', 'building_type', 'level']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'kitchen_area', 'date_encoded', 'object_type', 'building_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 33899.70278556  53501.57372468  33335.28897218  -1235.15680463
 -32413.99990319 -22040.25416686  -5971.70591888]",0.21295100532393715
Красноярский край,"['area', 'date_encoded', 'levels', 'rooms', 'object_type', 'kitchen_area', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'rooms', 'object_type', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  65264.70774433   14165.26493655   22175.35615135 -305355.52133145
  -29068.02972345  -10342.15821947  -52920.03906595]",0.2439713116979293
Тюменская область,"['area', 'date_encoded', 'levels', 'rooms', 'kitchen_area', 'object_type', 'building_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'rooms', 'kitchen_area', 'object_type', 'building_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  63446.69368353   20132.21269138   14588.85762528 -331493.09829523
   28516.53488387  -21095.01949301  -56813.63207744]",0.18027545548809695
Республика Хакасия,"['area', 'date_encoded', 'levels', 'kitchen_area', 'rooms', 'building_type', 'object_type']","[True, True, True, True, True, True, True, True]","['area', 'date_encoded', 'levels', 'kitchen_area', 'rooms', 'building_type', 'object_type']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  42192.29883152   15553.81296659   47648.1850754    15258.1887649
 -228080.54745338  -33043.76236318  -19151.72984053]",0.31743100074451497
Новосибирская область,"['area', 'date_encoded', 'object_type', 'levels', 'building_type', 'rooms']","[True, True, True, True, True, True, True]","['area', 'date_encoded', 'object_type', 'levels', 'building_type', 'rooms']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  29873.55290917   30110.97933517 -111383.96445126   80699.42502501
  134598.64508932  139277.72910449]",0.26413708191754465
Воронежская область,"['area', 'levels', 'date_encoded', 'kitchen_area', 'building_type']","[True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'building_type']",True,False,False,True,"[False, True, True, True, True, True]",False,"[ 46031.04351792  17943.68179436   6179.73132715  10892.84832632
 -99116.75616219]",0.20988910640371658
Республика Карелия,"['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'level']","[True, True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'kitchen_area', 'object_type', 'building_type', 'level']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[  41161.94632422   13499.95674512   10187.3167208    35646.13598497
   20651.34269709 -136011.53860788    7434.44909689]",0.29625199035788685
Республика Дагестан,"['area', 'object_type', 'date_encoded', 'rooms', 'levels', 'level', 'kitchen_area']","[True, True, True, True, True, True, True, True]","['area', 'object_type', 'date_encoded', 'rooms', 'levels', 'level', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True, True]",False,"[ 38359.46751171 -66301.23113698  15707.90927563 116813.04031359
  34362.27825576 -30088.65009638 -15922.63424804]",0.3178291807360671
Республика Саха (Якутия),"['area', 'levels', 'kitchen_area', 'building_type', 'date_encoded']","[True, True, True, True, True, True]","['area', 'levels', 'kitchen_area', 'building_type', 'date_encoded']",True,False,False,True,"[False, True, True, True, True, True]",False,"[ 34952.86167153 140089.40781571  32811.48761466  17662.86963048
   3130.94088174]",0.3892497744763586
Забайкальский край,"['area', 'levels', 'date_encoded', 'building_type', 'rooms', 'kitchen_area']","[True, True, True, True, True, True, True]","['area', 'levels', 'date_encoded', 'building_type', 'rooms', 'kitchen_area']",True,False,False,True,"[False, True, True, True, True, True, True]",False,"[  52426.8633378    86397.39137873   26832.66333328     680.7808158
 -422402.08882883  -26162.28813712]",0.3244656511848985
